Numbered Topic,Topic,Subtopic,Subsubtopic,Learning Outcome,Code
006.Force,Force,Dynamics of Circular Motion,Non-Uniform,Paste un-numbered outcome here,6.12.4.1
007.Momentum and Impulse,Momentum and Impulse,Topic Outcome,,Paste un-numbered outcome here,7.1.1.0
007.Momentum and Impulse,Momentum and Impulse,Topic Outcome,,Paste un-numbered outcome here,7.1.1.1
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,"Explain what momentum is, physically.{291}",7.2.1.0
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,Calculate the momentum of a moving object.{292},7.2.1.1
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,Express momentum as a two-dimensional vector.{317},7.2.1.2
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,"Calculate momentum in two dimensions, as a vector quantity.{319}",7.2.1.3
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,Relate momentum to force.,7.2.1.4
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,Determine the net force on an object from the momentum as a function of time,7.2.1.5
007.Momentum and Impulse,Momentum and Impulse,Momentum,Subtopic Outcome,Define momentum,7.2.1.6
007.Momentum and Impulse,Momentum and Impulse,Momentum,Linear,Paste un-numbered outcome here,7.2.2.0
007.Momentum and Impulse,Momentum and Impulse,Momentum,Linear,Paste un-numbered outcome here,7.2.2.1
007.Momentum and Impulse,Momentum and Impulse,Momentum,Angular,Describe the vector nature of angular momentum.{400},7.2.3.0
007.Momentum and Impulse,Momentum and Impulse,Momentum,Angular,Find the total angular momentum and torque about a designated origin of a system of particles.{401},7.2.3.1
007.Momentum and Impulse,Momentum and Impulse,Momentum,Angular,Calculate the angular momentum of a rigid body rotating about a fixed axis.{402},7.2.3.2
007.Momentum and Impulse,Momentum and Impulse,Momentum,Angular,Use conservation of angular momentum in the analysis of objects that change their rotation rate.{404},7.2.3.3
007.Momentum and Impulse,Momentum and Impulse,Impulse,,"Explain what an impulse is, physically.{296}",7.3.1.0
007.Momentum and Impulse,Momentum and Impulse,Impulse,,Describe what an impulse does.{297},7.3.1.1
007.Momentum and Impulse,Momentum and Impulse,Impulse,,Relate impulses to collisions.{298},7.3.1.2
007.Momentum and Impulse,Momentum and Impulse,Impulse,,Apply the impulse-momentum theorem to solve problems.{299},7.3.1.3
007.Momentum and Impulse,Momentum and Impulse,Impulse,,Relate the impulse delivered to an object to the average applied force and duration of the force.,7.3.1.4
007.Momentum and Impulse,Momentum and Impulse,Collisions,Subtopic Outcome,Identify the type of collision.{311},7.4.1.0
007.Momentum and Impulse,Momentum and Impulse,Collisions,Subtopic Outcome,Correctly label a collision as elastic or inelastic.{312},7.4.1.1
007.Momentum and Impulse,Momentum and Impulse,Collisions,Subtopic Outcome,Use kinetic energy along with momentum and impulse to analyze a collision.{313},7.4.1.2
007.Momentum and Impulse,Momentum and Impulse,Collisions,Elastic,Solve problems involving the distance and time between a gas molecule’s collisions.{732},7.4.2.0
007.Momentum and Impulse,Momentum and Impulse,Collisions,Elastic,Paste un-numbered outcome here,7.4.2.1
007.Momentum and Impulse,Momentum and Impulse,Collisions,Inelastic,Paste un-numbered outcome here,7.4.3.0
007.Momentum and Impulse,Momentum and Impulse,Collisions,Inelastic,Paste un-numbered outcome here,7.4.3.1
007.Momentum and Impulse,Momentum and Impulse,Collisions,Explosions,"Describe the application of conservation of momentum when the mass changes with time, as well as the velocity.{330}",7.4.4.0
007.Momentum and Impulse,Momentum and Impulse,Collisions,Explosions,"Calculate the speed of a rocket in empty space, at some time, given initial conditions.{331}",7.4.4.1
007.Momentum and Impulse,Momentum and Impulse,Collisions,Explosions,"Calculate the speed of a rocket in Earth's gravity field, at some time, given initial conditions.{332}",7.4.4.2
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,"Explain the meaning of ""conservation of momentum"".{303}",7.5.1.0
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,"Correctly identify if a system is, or is not, closed.{304}",7.5.1.1
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Define a system whose momentum is conserved.{305},7.5.1.2
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Mathematically express conservation of momentum for a given system.{306},7.5.1.3
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Calculate an unknown quantity using conservation of momentum.{307},7.5.1.4
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Write equations for momentum conservation in component form.{318},7.5.1.5
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,"Describe the application of conservation of momentum when the mass changes with time, as well as the velocity.{330}",7.5.1.6
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Use conservation of momentum and conservation of mechanical energy to solve an elastic collision problem.,7.5.1.7
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Use conservation of momentum to solve an elastic collision problem.,7.5.1.8
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Subtopic Outcome,Use conservation of momentum to solve a problem.,7.5.1.9
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Linear,Paste un-numbered outcome here,7.5.2.0
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Linear,Paste un-numbered outcome here,7.5.2.1
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Angular,Use conservation of angular momentum in the analysis of objects that change their rotation rate.{404},7.5.3.0
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Angular,Apply conservation of angular momentum to determine the angular velocity of a rotating system in which the moment of inertia is changing.{408},7.5.3.1
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Angular,Explain how the rotational kinetic energy changes when a system undergoes changes in both moment of inertia and angular velocity.{409},7.5.3.2
007.Momentum and Impulse,Momentum and Impulse,Conservation of Momentum,Angular,Describe how orbital velocity is related to conservation of angular momentum.{470},7.5.3.3
007.Momentum and Impulse,Momentum and Impulse,2D Collisions,,Express momentum as a two-dimensional vector.{317},7.6.1.0
007.Momentum and Impulse,Momentum and Impulse,2D Collisions,,Write equations for momentum conservation in component form.{318},7.6.1.1
007.Momentum and Impulse,Momentum and Impulse,2D Collisions,,"Calculate momentum in two dimensions, as a vector quantity.{319}",7.6.1.2
007.Momentum and Impulse,Momentum and Impulse,Precession,,Describe the physical processes underlying the phenomenon of precession.{413},7.7.1.0
007.Momentum and Impulse,Momentum and Impulse,Precession,,Calculate the precessional angular velocity of a gyroscope.{414},7.7.1.1
008.Energy,Energy,Topic Outcome,,Describe energy transformations and conversions in general terms.{284},8.1.1.0
008.Energy,Energy,Topic Outcome,,Explain what it means for an energy source to be renewable or nonrenewable.{285},8.1.1.1
008.Energy,Energy,Kinetic Energy,,Calculate the kinetic energy of a particle given its mass and its velocity or momentum.{244},8.2.1.0
008.Energy,Energy,Kinetic Energy,,"Evaluate the kinetic energy of a body, relative to different frames of reference.{245}",8.2.1.1
008.Energy,Energy,Kinetic Energy,,Describe the differences between rotational and translational kinetic energy.{358},8.2.1.2
008.Energy,Energy,Kinetic Energy,,Explain how the rotational kinetic energy changes when a system undergoes changes in both moment of inertia and angular velocity.{409},8.2.1.3
008.Energy,Energy,Kinetic Energy,,Calculate the kinetic energy of a simple pendulum.,8.2.1.4
008.Energy,Energy,Kinetic Energy,,Define kinetic energy,8.2.1.5
008.Energy,Energy,Potential Energy,Subtopic Outcome,Relate the difference of potential energy to work done on a particle for a system without friction or air drag.{261},8.3.1.0
008.Energy,Energy,Potential Energy,Subtopic Outcome,Explain the meaning of the zero of the potential energy function for a system.{262},8.3.1.1
008.Energy,Energy,Potential Energy,Subtopic Outcome,Create and interpret graphs of potential energy.{279},8.3.1.2
008.Energy,Energy,Potential Energy,Subtopic Outcome,Explain the connection between stability and potential energy.{280},8.3.1.3
008.Energy,Energy,Potential Energy,Gravitational Potential Energy,Calculate and apply the gravitational potential energy for an object near Earth's surface and the elastic potential energy of a mass-spring system.{263},8.3.2.0
008.Energy,Energy,Potential Energy,Gravitational Potential Energy,Determine changes in gravitational potential energy over great distances.{457},8.3.2.1
008.Energy,Energy,Potential Energy,Gravitational Potential Energy,Apply conservation of energy to determine escape velocity.{458},8.3.2.2
008.Energy,Energy,Potential Energy,Gravitational Potential Energy,Determine whether astronomical bodies are gravitationally bound.{459},8.3.2.3
008.Energy,Energy,Potential Energy,Gravitational Potential Energy,Calculate the gravitational potential energy of a simple pendulum.,8.3.2.4
008.Energy,Energy,Potential Energy,Elastic Potential Energy,Calculate and apply the gravitational potential energy for an object near Earth's surface and the elastic potential energy of a mass-spring system.{263},8.3.3.0
008.Energy,Energy,Potential Energy,Elastic Potential Energy,Paste un-numbered outcome here,8.3.3.1
008.Energy,Energy,Energy Diagrams,,Paste un-numbered outcome here,8.4.1.0
008.Energy,Energy,Energy Diagrams,,Paste un-numbered outcome here,8.4.1.1
008.Energy,Energy,Conservation of Energy,Subtopic Outcome,"Formulate the principle of conservation of mechanical energy, with or without the presence of non-conservative forces.{274}",8.5.1.0
008.Energy,Energy,Conservation of Energy,Subtopic Outcome,Use the conservation of mechanical energy to calculate various properties of simple systems.{275},8.5.1.1
008.Energy,Energy,Conservation of Energy,Subtopic Outcome,Use conservation of mechanical energy to analyze systems undergoing both rotation and translation.{361},8.5.1.2
008.Energy,Energy,Conservation of Energy,Subtopic Outcome,Apply conservation of energy to determine escape velocity.{458},8.5.1.3
008.Energy,Energy,Conservation of Energy,Subtopic Outcome,Explain how Bernoulli's equation is related to the conservation of energy.{528},8.5.1.4
008.Energy,Energy,Conservation of Energy,Conservative Forces,Characterize a conservative force in several different ways.{267},8.5.2.0
008.Energy,Energy,Conservation of Energy,Conservative Forces,Specify mathematical conditions that must be satisfied by a conservative force and its components.{268},8.5.2.1
008.Energy,Energy,Conservation of Energy,Conservative Forces,Relate the conservative force between particles of a system to the potential energy of the system.{269},8.5.2.2
008.Energy,Energy,Conservation of Energy,Conservative Forces,Calculate the components of a conservative force in various cases.{270},8.5.2.3
008.Energy,Energy,Conservation of Energy,Non-Conservative Forces,Calculate the angular velocity of a rotating system when there are energy losses due to nonconservative forces.{362},8.5.3.0
008.Energy,Energy,Conservation of Energy,Non-Conservative Forces,Paste un-numbered outcome here,8.5.3.1
009.Work,Work,Topic Outcome,,Represent the work done by any force.{239},9.1.1.0
009.Work,Work,Topic Outcome,,Evaluate the work done for various forces.{240},9.1.1.1
009.Work,Work,Work-Energy Theorem,,"Apply the work-energy theorem to find information about the motion of a particle, given the forces acting on it.{249}",9.2.1.0
009.Work,Work,Work-Energy Theorem,,"Use the work-energy theorem to find information about the forces acting on a particle, given information about its motion.{250}",9.2.1.1
009.Work,Work,Work-Energy Theorem,,Use the work-energy theorem to analyze rotation to find the work done on a system when it is rotated about a fixed axis for a finite angular displacement.{383},9.2.1.2
009.Work,Work,Work-Energy Theorem,,Solve for the angular velocity of a rotating rigid body using the work-energy theorem.{384},9.2.1.3
009.Work,Work,Power,,Relate the work done during a time interval to the power delivered.{254},9.3.1.0
009.Work,Work,Power,,Find the power expended by a force acting on a moving body.{255},9.3.1.1
009.Work,Work,Work For Rotational Motion,,Use the work-energy theorem to analyze rotation to find the work done on a system when it is rotated about a fixed axis for a finite angular displacement.{383},9.4.1.0
009.Work,Work,Work For Rotational Motion,,Paste un-numbered outcome here,9.4.1.1
009.Work,Work,Power For Rotational Motion,,Find the power delivered to a rotating rigid body given the applied torque and angular velocity.{385},9.5.1.0
009.Work,Work,Power For Rotational Motion,,Paste un-numbered outcome here,9.5.1.1
010.Rotational Motion,Rotational Motion,Topic Outcome,,Derive the kinematic equations for rotational motion with constant angular acceleration.{347},10.1.1.0
010.Rotational Motion,Rotational Motion,Topic Outcome,,Select from the kinematic equations for rotational motion with constant angular acceleration the appropriate equations to solve for unknowns in the analysis of systems undergoing fixed-axis rotation.{348},10.1.1.1
010.Rotational Motion,Rotational Motion,Topic Outcome,,Use solutions found with the kinematic equations to verify the graphical analysis of fixed-axis rotation with constant angular acceleration.{349},10.1.1.2
010.Rotational Motion,Rotational Motion,Relating Rotational to Translational Motion,,"Given the linear kinematic equation, write the corresponding rotational kinematic equation.{353}",10.2.1.0
010.Rotational Motion,Rotational Motion,Relating Rotational to Translational Motion,,"Calculate the linear distances, velocities, and accelerations of points on a rotating system given the angular velocities and accelerations.{354}",10.2.1.1
010.Rotational Motion,Rotational Motion,Relating Rotational to Translational Motion,,Summarize the rotational variables and equations and relate them to their translational counterparts.{386},10.2.1.2
010.Rotational Motion,Rotational Motion,Rolling Motion,Subtopic Outcome,Use energy conservation to analyze rolling motion.{396},10.3.1.0
010.Rotational Motion,Rotational Motion,Rolling Motion,Subtopic Outcome,Paste un-numbered outcome here,10.3.1.1
010.Rotational Motion,Rotational Motion,Rolling Motion,Without Slipping,Describe the physics of rolling motion without slipping.{392},10.3.2.0
010.Rotational Motion,Rotational Motion,Rolling Motion,Without Slipping,Explain how linear variables are related to angular variables for the case of rolling motion without slipping.{393},10.3.2.1
010.Rotational Motion,Rotational Motion,Rolling Motion,Without Slipping,Find the linear and angular accelerations in rolling motion with and without slipping.{394},10.3.2.2
010.Rotational Motion,Rotational Motion,Rolling Motion,Without Slipping,Calculate the static friction force associated with rolling motion without slipping.{395},10.3.2.3
010.Rotational Motion,Rotational Motion,Rolling Motion,With Slipping,Find the linear and angular accelerations in rolling motion with and without slipping.{394},10.3.3.0
010.Rotational Motion,Rotational Motion,Rolling Motion,With Slipping,Paste un-numbered outcome here,10.3.3.1
010.Rotational Motion,Rotational Motion,Center of Mass,,Explain the meaning and usefulness of the concept of center of mass.{323},10.4.1.0
010.Rotational Motion,Rotational Motion,Center of Mass,,Calculate the center of mass of a given system.{324},10.4.1.1
010.Rotational Motion,Rotational Motion,Center of Mass,,Apply the center of mass concept in two and three dimensions.{325},10.4.1.2
010.Rotational Motion,Rotational Motion,Center of Mass,,Calculate the velocity and acceleration of the center of mass.{326},10.4.1.3
010.Rotational Motion,Rotational Motion,Rotational Energy,Subtopic Outcome,Describe the differences between rotational and translational kinetic energy.{358},10.5.1.0
010.Rotational Motion,Rotational Motion,Rotational Energy,Subtopic Outcome,Use conservation of mechanical energy to analyze systems undergoing both rotation and translation.{361},10.5.1.1
010.Rotational Motion,Rotational Motion,Rotational Energy,Subtopic Outcome,Calculate the angular velocity of a rotating system when there are energy losses due to nonconservative forces.{362},10.5.1.2
010.Rotational Motion,Rotational Motion,Rotational Energy,Moment of Inertia,Define the physical concept of moment of inertia in terms of the mass distribution from the rotational axis.{359},10.5.2.0
010.Rotational Motion,Rotational Motion,Rotational Energy,Moment of Inertia,Explain how the moment of inertia of rigid bodies affects their rotational kinetic energy.{360},10.5.2.1
010.Rotational Motion,Rotational Motion,Rotational Energy,Moment of Inertia,"Calculate the moment of inertia for uniformly shaped, rigid bodies.{366}",10.5.2.2
010.Rotational Motion,Rotational Motion,Rotational Energy,Moment of Inertia,Calculate the moment of inertia for compound objects.{368},10.5.2.3
010.Rotational Motion,Rotational Motion,Rotational Energy,Parallel-Axis Theorem,Apply the parallel axis theorem to find the moment of inertia about any axis parallel to one already known.{367},10.5.3.0
010.Rotational Motion,Rotational Motion,Rotational Energy,Parallel-Axis Theorem,Paste un-numbered outcome here,10.5.3.1
010.Rotational Motion,Rotational Motion,Center of Gravity,,Calculate the center of gravity of a given system.,10.6.1.0
010.Rotational Motion,Rotational Motion,Center of Gravity,,Calculate the center of gravity of a uniform object.,10.6.1.1
011.Rotational Dynamics,Rotational Dynamics,Topic Outcome,,Paste un-numbered outcome here,11.1.1.0
011.Rotational Dynamics,Rotational Dynamics,Topic Outcome,,Paste un-numbered outcome here,11.1.1.1
011.Rotational Dynamics,Rotational Dynamics,Newton's Second Law for Rotational Motion,,Calculate the torques on rotating systems about a fixed axis to find the angular acceleration.{378},11.2.1.0
011.Rotational Dynamics,Rotational Dynamics,Newton's Second Law for Rotational Motion,,Explain how changes in the moment of inertia of a rotating system affect angular acceleration with a fixed applied torque.{379},11.2.1.1
011.Rotational Dynamics,Rotational Dynamics,Torque,,Describe how the magnitude of a torque depends on the magnitude of the lever arm and the angle the force vector makes with the lever arm.{372},11.3.1.0
011.Rotational Dynamics,Rotational Dynamics,Torque,,Determine the sign (positive or negative) of a torque using the right-hand rule.{373},11.3.1.1
011.Rotational Dynamics,Rotational Dynamics,Torque,,Calculate individual torques about a common axis and sum them to find the net torque.{374},11.3.1.2
011.Rotational Dynamics,Rotational Dynamics,Torque,,Find the total angular momentum and torque about a designated origin of a system of particles.{401},11.3.1.3
011.Rotational Dynamics,Rotational Dynamics,Torque,,Calculate the torque on a rigid body rotating about a fixed axis.{403},11.3.1.4
011.Rotational Dynamics,Rotational Dynamics,Rotation about a Fixed Axis,,Describe the physical meaning of rotational variables as applied to fixed-axis rotation.{338},11.4.1.0
011.Rotational Dynamics,Rotational Dynamics,Rotation about a Fixed Axis,,Calculate the angular momentum of a rigid body rotating about a fixed axis.{402},11.4.1.1
011.Rotational Dynamics,Rotational Dynamics,Rotation about a Fixed Axis,,Calculate the torque on a rigid body rotating about a fixed axis.{403},11.4.1.2
011.Rotational Dynamics,Rotational Dynamics,Static Equilibrium,,Identify the physical conditions of static equilibrium.{420},11.5.1.0
011.Rotational Dynamics,Rotational Dynamics,Static Equilibrium,,Draw a free-body diagram for a rigid body acted on by forces.{421},11.5.1.1
011.Rotational Dynamics,Rotational Dynamics,Static Equilibrium,,Explain how the conditions for equilibrium allow us to solve statics problems.{422},11.5.1.2
011.Rotational Dynamics,Rotational Dynamics,Static Equilibrium,,Identify and analyze static equilibrium situations.{426},11.5.1.3
011.Rotational Dynamics,Rotational Dynamics,Static Equilibrium,,Set up a free-body diagram for an extended object in static equilibrium.{427},11.5.1.4
011.Rotational Dynamics,Rotational Dynamics,Static Equilibrium,,Set up and solve static equilibrium conditions for objects in equilibrium in various physical situations.{428},11.5.1.5
012.Gravitation,Gravitation,Topic Outcome,,List the significant milestones in the history of gravitation.{445},12.1.1.0
012.Gravitation,Gravitation,Topic Outcome,,Determine the mass of an astronomical body from free-fall acceleration at its surface.{452},12.1.1.1
012.Gravitation,Gravitation,Topic Outcome,,Describe how the value of g varies due to location and Earth's rotation.{453},12.1.1.2
012.Gravitation,Gravitation,Newton's Law of Gravity,,Calculate the gravitational force between two point masses.{446},12.2.1.0
012.Gravitation,Gravitation,Newton's Law of Gravity,,Estimate the gravitational force between collections of mass.{447},12.2.1.1
012.Gravitation,Gravitation,Newton's Law of Gravity,,Explain the connection between the constants G and g.{451},12.2.1.2
012.Gravitation,Gravitation,Orbits,,Describe the mechanism for circular orbits.{463},12.3.1.0
012.Gravitation,Gravitation,Orbits,,Find the orbital periods and speeds of satellites.{464},12.3.1.1
012.Gravitation,Gravitation,Orbits,,Determine whether objects are gravitationally bound.{465},12.3.1.2
012.Gravitation,Gravitation,Kepler's Laws,Subtopic Outcome,Describe the conic sections and how they relate to orbital motion.{469},12.4.1.0
012.Gravitation,Gravitation,Kepler's Laws,Subtopic Outcome,Describe how orbital velocity is related to conservation of angular momentum.{470},12.4.1.1
012.Gravitation,Gravitation,Kepler's Laws,Subtopic Outcome,Determine the period of an elliptical orbit from its major axis.{471},12.4.1.2
012.Gravitation,Gravitation,Kepler's Laws,Kepler's First Law,Paste un-numbered outcome here,12.4.2.0
012.Gravitation,Gravitation,Kepler's Laws,Kepler's First Law,Paste un-numbered outcome here,12.4.2.1
012.Gravitation,Gravitation,Kepler's Laws,Kepler's Second Law,Paste un-numbered outcome here,12.4.3.0
012.Gravitation,Gravitation,Kepler's Laws,Kepler's Second Law,Paste un-numbered outcome here,12.4.3.1
012.Gravitation,Gravitation,Kepler's Laws,Kepler's Third Law,Paste un-numbered outcome here,12.4.4.0
012.Gravitation,Gravitation,Kepler's Laws,Kepler's Third Law,Paste un-numbered outcome here,12.4.4.1
012.Gravitation,Gravitation,Tides,,Explain the origins of Earth's ocean tides.{475},12.5.1.0
012.Gravitation,Gravitation,Tides,,Describe how neap and leap tides differ.{476},12.5.1.1
012.Gravitation,Gravitation,Tides,,Describe how tidal forces affect binary systems.{477},12.5.1.2
012.Gravitation,Gravitation,Einstein's Theory of Gravity,,Describe how the theory of general relativity approaches gravitation.{481},12.6.1.0
012.Gravitation,Gravitation,Einstein's Theory of Gravity,,Explain the principle of equivalence.{482},12.6.1.1
012.Gravitation,Gravitation,Einstein's Theory of Gravity,,Calculate the Schwarzschild radius of an object.{483},12.6.1.2
012.Gravitation,Gravitation,Einstein's Theory of Gravity,,Summarize the evidence for black holes.{484},12.6.1.3
013.Fluids,Fluids,Topic Outcome,,State the different phases of matter.{490},13.1.1.0
013.Fluids,Fluids,Topic Outcome,,Describe the characteristics of the phases of matter at the molecular or atomic level.{491},13.1.1.1
013.Fluids,Fluids,Topic Outcome,,Distinguish between compressible and incompressible materials.{492},13.1.1.2
013.Fluids,Fluids,Density,,Define density and its related SI units.{493},13.2.1.0
013.Fluids,Fluids,Density,,Compare and contrast the densities of various substances.{494},13.2.1.1
013.Fluids,Fluids,Density,,Relate the density of an object to its mass and volume,13.2.1.2
013.Fluids,Fluids,Pressure,,Define pressure and its related SI units.{495},13.3.1.0
013.Fluids,Fluids,Pressure,,Explain the relationship between pressure and force.{496},13.3.1.1
013.Fluids,Fluids,Pressure,,Calculate force given pressure and area.{497},13.3.1.2
013.Fluids,Fluids,Pressure,,Define gauge pressure and absolute pressure.{501},13.3.1.3
013.Fluids,Fluids,Pressure,,Explain various methods for measuring pressure.{502},13.3.1.4
013.Fluids,Fluids,Pressure,,Understand the working of open-tube barometers.{503},13.3.1.5
013.Fluids,Fluids,Pressure,,Describe in detail how manometers and barometers operate.{504},13.3.1.6
013.Fluids,Fluids,Pascal's Law,Subtopic Outcome,State Pascal's principle.{508},13.4.1.0
013.Fluids,Fluids,Pascal's Law,Subtopic Outcome,Describe applications of Pascal's principle.{509},13.4.1.1
013.Fluids,Fluids,Pascal's Law,Hydraulics,Derive relationships between forces in a hydraulic system.{510},13.4.2.0
013.Fluids,Fluids,Pascal's Law,Hydraulics,Paste un-numbered outcome here,13.4.2.1
013.Fluids,Fluids,Archimedes' Principle,Subtopic Outcome,State Archimedes' principle.{515},13.5.1.0
013.Fluids,Fluids,Archimedes' Principle,Subtopic Outcome,Describe the relationship between density and Archimedes' principle.{516},13.5.1.1
013.Fluids,Fluids,Archimedes' Principle,Buoyancy,Define buoyant force.{514},13.5.2.0
013.Fluids,Fluids,Archimedes' Principle,Buoyancy,Paste un-numbered outcome here,13.5.2.1
013.Fluids,Fluids,Fluid Dynamics,Subtopic Outcome,Describe the characteristics of flow.{520},13.6.1.0
013.Fluids,Fluids,Fluid Dynamics,Subtopic Outcome,Paste un-numbered outcome here,13.6.1.1
013.Fluids,Fluids,Fluid Dynamics,Flow Rate,Calculate flow rate.{521},13.6.2.0
013.Fluids,Fluids,Fluid Dynamics,Flow Rate,Describe the relationship between flow rate and velocity.{522},13.6.2.1
013.Fluids,Fluids,Fluid Dynamics,Laminar/Turbulent Flow,Calculate flow and resistance with Poiseuille's law.{536},13.6.3.0
013.Fluids,Fluids,Fluid Dynamics,Laminar/Turbulent Flow,Explain how pressure drops due to resistance.{537},13.6.3.1
013.Fluids,Fluids,Fluid Dynamics,Laminar/Turbulent Flow,Calculate the Reynolds number for an object moving through a fluid.{538},13.6.3.2
013.Fluids,Fluids,Fluid Dynamics,Laminar/Turbulent Flow,Use the Reynolds number for a system to determine whether it is laminar or turbulent.{539},13.6.3.3
013.Fluids,Fluids,Fluid Dynamics,Viscosity,Explain what viscosity is.{535},13.6.4.0
013.Fluids,Fluids,Fluid Dynamics,Viscosity,Describe the conditions under which an object has a terminal speed.{540},13.6.4.1
013.Fluids,Fluids,Fluid Dynamics,Equation of Continuity,Explain the consequences of the equation of continuity to the conservation of mass.{523},13.6.5.0
013.Fluids,Fluids,Fluid Dynamics,Equation of Continuity,Paste un-numbered outcome here,13.6.5.1
013.Fluids,Fluids,Fluid Dynamics,Bernoulli's Equation,Explain the terms in Bernoulli's equation.{527},13.6.6.0
013.Fluids,Fluids,Fluid Dynamics,Bernoulli's Equation,Explain how Bernoulli's equation is related to the conservation of energy.{528},13.6.6.1
013.Fluids,Fluids,Fluid Dynamics,Bernoulli's Equation,Describe how to derive Bernoulli's principle from Bernoulli's equation.{529},13.6.6.2
013.Fluids,Fluids,Fluid Dynamics,Bernoulli's Equation,Perform calculations using Bernoulli's principle.{530},13.6.6.3
013.Fluids,Fluids,Fluid Dynamics,Bernoulli's Equation,Describe some applications of Bernoulli's principle.{531},13.6.6.4
014.Elasticity,Elasticity,Topic Outcome,,Explain the concepts of stress and strain in describing elastic deformations of materials.{432},14.1.1.0
014.Elasticity,Elasticity,Topic Outcome,,Describe the types of elastic deformation of objects and materials.{433},14.1.1.1
014.Elasticity,Elasticity,Topic Outcome,,Explain the limit where a deformation of material is elastic.{437},14.1.1.2
014.Elasticity,Elasticity,Topic Outcome,,Analyze elasticity and plasticity on a stress-strain diagram.{439},14.1.1.3
014.Elasticity,Elasticity,Stress,,Paste un-numbered outcome here,14.2.1.0
014.Elasticity,Elasticity,Stress,,Paste un-numbered outcome here,14.2.1.1
014.Elasticity,Elasticity,Strain,,Paste un-numbered outcome here,14.3.1.0
014.Elasticity,Elasticity,Strain,,Paste un-numbered outcome here,14.3.1.1
014.Elasticity,Elasticity,Elastic Modulus,,Paste un-numbered outcome here,14.4.1.0
014.Elasticity,Elasticity,Elastic Modulus,,Paste un-numbered outcome here,14.4.1.1
014.Elasticity,Elasticity,Plasticity,,Describe the range where materials show plastic behavior.{438},14.5.1.0
014.Elasticity,Elasticity,Plasticity,,Paste un-numbered outcome here,14.5.1.1
015.Oscillations,Oscillations,Topic Outcome,,Paste un-numbered outcome here,15.1.1.0
015.Oscillations,Oscillations,Topic Outcome,,Paste un-numbered outcome here,15.1.1.1
015.Oscillations,Oscillations,Simple Harmonic Motion,Subtopic Outcome,Define the terms period and frequency.{549},15.2.1.0
015.Oscillations,Oscillations,Simple Harmonic Motion,Subtopic Outcome,List the characteristics of simple harmonic motion.{550},15.2.1.1
015.Oscillations,Oscillations,Simple Harmonic Motion,Subtopic Outcome,Explain the concept of phase shift.{551},15.2.1.2
015.Oscillations,Oscillations,Simple Harmonic Motion,Subtopic Outcome,Write the equations of motion for the system of a mass and spring undergoing simple harmonic motion.{552},15.2.1.3
015.Oscillations,Oscillations,Simple Harmonic Motion,Subtopic Outcome,Describe the motion of a mass oscillating on a vertical spring.{553},15.2.1.4
015.Oscillations,Oscillations,Simple Harmonic Motion,Energy in Simple Harmonic Motion,Describe the energy conservation of the system of a mass and a spring.{557},15.2.2.0
015.Oscillations,Oscillations,Simple Harmonic Motion,Energy in Simple Harmonic Motion,Explain the concepts of stable and unstable equilibrium points.{558},15.2.2.1
015.Oscillations,Oscillations,Simple Harmonic Motion,Comparing Simple Harmonic Motion to Circular Motion,Describe how the sine and cosine functions relate to the concepts of circular motion.{567},15.2.3.0
015.Oscillations,Oscillations,Simple Harmonic Motion,Comparing Simple Harmonic Motion to Circular Motion,Describe the connection between simple harmonic motion and circular motion.{568},15.2.3.1
015.Oscillations,Oscillations,Vertical Oscillations,,Describe the motion of a mass oscillating on a vertical spring.{553},15.3.1.0
015.Oscillations,Oscillations,Vertical Oscillations,,Paste un-numbered outcome here,15.3.1.1
015.Oscillations,Oscillations,Pendulum,,State the forces that act on a simple pendulum.{572},15.4.1.0
